Unit,Time,LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BleedEnthalpy,HPTCoolantBleed,LPTCoolantBleed
53,5,642.322,1586.174,1403.168,554.018,2388.05,9061.298,47.38,521.936,2388.06,8140.814,8.42856,392.2,38.86,23.36742
53,6,642.346,1586.032,1401.368,553.94,2388.048,9058.89,47.36,521.882,2388.064,8139.63,8.42738,392.2,38.904,23.38492
53,7,642.368,1585.666,1400.152,553.91,2388.048,9059.454,47.358,521.76,2388.06,8139.686,8.42046,392.2,38.942,23.36416
53,8,642.466,1586.3,1400.426,553.968,2388.066,9060.266,47.386,521.742,2388.064,8139.972,8.4182,392.2,38.978,23.3699
53,9,642.502,1586.054,1400.154,554.044,2388.064,9059.178,47.402,521.844,2388.06,8139.712,8.4185,392.2,39.002,23.35866
53,10,642.518,1585.54,1400.406,554.084,2388.06,9061.12,47.392,521.938,2388.068,8140.016,8.4241,392.2,39.006,23.3631
53,11,642.472,1584.564,1401.358,554.078,2388.048,9063.324,47.348,521.98,2388.054,8139.846,8.41484,392,38.934,23.36674
53,12,642.294,1585.696,1401.916,554.056,2388.036,9062.368,47.37,522.114,2388.054,8139.482,8.41934,391.8,38.966,23.37398
53,13,642.29,1587.644,1403.522,553.972,2388.028,9061.034,47.35,522.136,2388.056,8139.602,8.41604,391.8,38.926,23.38712
53,14,642.178,1587.036,1403.958,553.834,2388.026,9060.784,47.372,522.122,2388.06,8140.804,8.4238,392,38.936,23.3957
53,15,642.192,1587.644,1403.92,553.832,2388.03,9059.552,47.332,522.158,2388.054,8140.926,8.426,392,38.986,23.39662
53,16,642.254,1586.92,1403.692,553.75,2388.036,9058.236,47.392,522.186,2388.056,8141.116,8.42838,392.2,39.012,23.41162
53,17,642.4,1586.34,1402.456,553.74,2388.062,9058.578,47.38,522.162,2388.054,8142.27,8.42132,392.8,38.968,23.40644
53,18,642.4,1585.776,1401.622,553.758,2388.062,9060.518,47.396,522.136,2388.052,8140.59,8.43168,393,38.968,23.38678
53,19,642.502,1586.512,1401.844,553.876,2388.066,9061.012,47.396,522.082,2388.052,8140.43,8.41882,392.8,38.944,23.38404
53,20,642.55,1587.162,1401.768,553.724,2388.076,9060.956,47.422,522.026,2388.05,8140.924,8.41488,392.8,38.908,23.38904
53,21,642.548,1588.492,1400.32,553.804,2388.074,9061.572,47.406,522.03,2388.054,8141.092,8.4156,393,38.916,23.37338
