Unit,Time,LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BleedEnthalpy,HPTCoolantBleed,LPTCoolantBleed
12,5,642.496,1588.994,1406.316,553.322,2388.088,9044.138,47.54,521.426,2388.122,8127.162,8.42332,393,38.88,23.32724
12,6,642.546,1589.068,1407.702,553.298,2388.094,9043.97,47.544,521.56,2388.122,8127.494,8.42504,392.8,38.896,23.3358
12,7,642.568,1587.678,1408.658,553.356,2388.09,9045.188,47.568,521.512,2388.118,8128.3,8.43306,392.6,38.866,23.3072
12,8,642.572,1588.344,1410.132,553.252,2388.094,9048.338,47.564,521.55,2388.12,8128.804,8.43622,392.2,38.86,23.32228
12,9,642.462,1586.614,1408.162,553.45,2388.084,9048.752,47.524,521.52,2388.112,8128.938,8.43308,392.4,38.854,23.3015
12,10,642.374,1588.1,1406.55,553.508,2388.096,9049.386,47.508,521.454,2388.104,8129.098,8.43414,392.2,38.806,23.29232
12,11,642.34,1589.348,1407.23,553.54,2388.11,9049.382,47.534,521.292,2388.1,8127.678,8.43064,392.4,38.798,23.3241
12,12,642.432,1588.484,1406.442,553.558,2388.128,9048.702,47.524,521.19,2388.11,8127.512,8.42576,392.8,38.812,23.35462
12,13,642.62,1588.856,1405.33,553.702,2388.128,9048.106,47.538,521.164,2388.11,8126.392,8.42612,393.2,38.832,23.328
12,14,642.818,1589.688,1407.074,553.582,2388.134,9048.18,47.54,521.13,2388.104,8127.43,8.43228,393.2,38.834,23.32948
12,15,642.788,1589.838,1407.588,553.832,2388.146,9048.538,47.538,521.228,2388.11,8127.204,8.42522,393.4,38.872,23.30728
12,16,642.776,1588.322,1405.842,553.798,2388.128,9047.614,47.516,521.35,2388.126,8128.312,8.42934,393.4,38.842,23.29842
12,17,642.7,1590.192,1406.304,553.878,2388.114,9047.612,47.5,521.436,2388.122,8127.692,8.42726,393.2,38.856,23.29928
12,18,642.492,1589.358,1407.796,553.88,2388.116,9047.19,47.506,521.368,2388.124,8128.244,8.42674,392.8,38.84,23.31778
12,19,642.44,1590.734,1407.966,553.916,2388.118,9046.838,47.546,521.394,2388.13,8127.95,8.4206,392.8,38.856,23.30198
12,20,642.574,1589.516,1408.524,553.728,2388.108,9045.934,47.514,521.402,2388.126,8128.952,8.42448,393,38.866,23.31918
12,21,642.664,1591.434,1408.68,553.686,2388.12,9046.512,47.508,521.464,2388.11,8129.244,8.42382,392.6,38.924,23.30818
12,22,642.702,1590.978,1408.544,553.698,2388.132,9045.116,47.518,521.534,2388.102,8128.868,8.42816,392.2,38.91,23.29196
12,23,642.776,1591.988,1406.808,553.606,2388.122,9045.376,47.448,521.606,2388.086,8127.548,8.42784,392.4,38.962,23.26828
12,24,642.788,1590.332,1406.458,553.688,2388.12,9046.816,47.434,521.634,2388.078,8127.102,8.43438,392,38.95,23.27746
12,25,642.684,1590.808,1406.876,553.592,2388.122,9047.036,47.41,521.61,2388.086,8125.87,8.43246,391.6,38.89,23.27538
12,26,642.664,1588.162,1408.092,553.478,2388.122,9047.456,47.418,521.574,2388.098,8123.886,8.43196,392,38.866,23.28328
12,27,642.584,1586.946,1408.412,553.45,2388.112,9049.258,47.412,521.47,2388.1,8124.998,8.43626,392.4,38.896,23.30424
12,28,642.48,1586.488,1409.474,553.634,2388.116,9051.368,47.494,521.48,2388.11,8125.442,8.44114,392.6,38.88,23.31912
12,29,642.49,1585.494,1409.916,553.546,2388.12,9050.026,47.518,521.462,2388.116,8125.244,8.4342,393,38.838,23.3137
12,30,642.588,1586.544,1408.084,553.612,2388.122,9050.22,47.536,521.476,2388.116,8126.924,8.44022,393.2,38.87,23.31782
12,31,642.56,1587.354,1406.912,553.702,2388.114,9048.584,47.536,521.456,2388.118,8127.502,8.43862,392.8,38.846,23.28876
12,32,642.636,1590.248,1406.43,553.488,2388.102,9048.808,47.538,521.452,2388.118,8126.76,8.43838,392.8,38.782,23.24636
12,33,642.694,1589.934,1405.844,553.254,2388.094,9046.46,47.524,521.396,2388.114,8126.624,8.44058,392.8,38.778,23.25034
12,34,642.65,1591.602,1405.806,553.232,2388.092,9044.234,47.532,521.466,2388.116,8126.374,8.44954,393,38.772,23.25788
12,35,642.636,1590.326,1407.13,553.284,2388.09,9044.284,47.544,521.478,2388.126,8125.862,8.44238,392.8,38.75,23.24454
12,36,642.694,1591.712,1406.344,553.222,2388.102,9044.724,47.524,521.508,2388.13,8127.198,8.44726,392.8,38.766,23.23452
12,37,642.618,1590.782,1406.752,553.306,2388.108,9043.632,47.544,521.58,2388.132,8126.758,8.4499,392.8,38.782,23.25472
12,38,642.682,1591.998,1406.512,553.368,2388.114,9044.412,47.532,521.55,2388.128,8127.4,8.4469,393,38.776,23.26696
12,39,642.628,1591.698,1407.234,553.266,2388.114,9046.082,47.482,521.586,2388.126,8127.896,8.44578,392.8,38.816,23.265
12,40,642.502,1591.58,1408.022,553.138,2388.116,9045.106,47.516,521.524,2388.128,8127.22,8.45566,393.2,38.836,23.28674
12,41,642.354,1590.75,1410.28,553.096,2388.104,9044.882,47.522,521.556,2388.124,8125.81,8.4527,393.4,38.84,23.29698
12,42,642.466,1591.13,1409.744,553.07,2388.104,9045.216,47.464,521.442,2388.122,8126.542,8.45196,393.6,38.868,23.30106
12,43,642.39,1590.068,1411.132,553.022,2388.11,9044.002,47.474,521.54,2388.142,8127.29,8.44986,393.4,38.848,23.28576
12,44,642.43,1590.264,1409.64,553.1,2388.108,9043.472,47.468,521.47,2388.132,8128.03,8.45378,393.2,38.884,23.26272
12,45,642.55,1592.506,1409.382,553.148,2388.104,9045.32,47.47,521.41,2388.122,8127.316,8.44856,393.4,38.874,23.24402
12,46,642.594,1593.994,1408.484,553.192,2388.114,9045.896,47.47,521.362,2388.122,8128.312,8.45402,393.2,38.902,23.25244
12,47,642.454,1592.978,1408.222,553.232,2388.12,9046.294,47.484,521.468,2388.124,8128.432,8.45604,392.8,38.858,23.25752
12,48,642.478,1592.736,1408.298,553.304,2388.122,9046.052,47.502,521.56,2388.118,8126.382,8.46038,392.8,38.854,23.26346
12,49,642.546,1591.878,1407.298,553.388,2388.132,9046.562,47.532,521.626,2388.134,8125.356,8.45514,393.2,38.814,23.29442
12,50,642.432,1590.528,1407.132,553.53,2388.136,9045.144,47.494,521.716,2388.136,8124.9,8.45256,392.4,38.846,23.31718
12,51,642.574,1588.942,1408.26,553.616,2388.136,9044.876,47.488,521.694,2388.134,8123.194,8.45226,392.4,38.82,23.33322
12,52,642.64,1587.872,1408.728,553.728,2388.136,9044.712,47.48,521.622,2388.132,8122.29,8.44428,392.8,38.872,23.33672
12,53,642.678,1588.51,1407.086,553.454,2388.142,9045.374,47.472,521.514,2388.142,8123.176,8.44132,392.8,38.838,23.3317
12,54,642.628,1588.758,1409.396,553.59,2388.14,9048.314,47.468,521.434,2388.14,8123.762,8.43992,392.8,38.858,23.3398
12,55,642.75,1589.33,1410.462,553.45,2388.14,9048.278,47.538,521.426,2388.134,8124.816,8.44278,393,38.802,23.33514
12,56,642.624,1589.546,1409.51,553.27,2388.136,9048.658,47.55,521.444,2388.138,8127.41,8.43532,393.4,38.808,23.33088
12,57,642.788,1592.058,1409.314,553.144,2388.136,9048.658,47.596,521.39,2388.142,8129.34,8.4417,393.4,38.798,23.3213
12,58,642.692,1592.208,1409.764,553.436,2388.118,9049.032,47.606,521.43,2388.132,8129.784,8.44766,393.4,38.834,23.3112
12,59,642.784,1593.588,1407.888,553.146,2388.124,9047.132,47.598,521.412,2388.124,8128.29,8.44514,393.2,38.822,23.30474
12,60,642.674,1593.942,1407.622,553.11,2388.122,9048.426,47.582,521.414,2388.126,8128.774,8.43812,393.6,38.828,23.3042
12,61,642.75,1594.122,1407.212,553.128,2388.12,9046.724,47.602,521.268,2388.126,8127.4,8.43848,393.6,38.794,23.30312
12,62,642.508,1592.902,1407.616,553.056,2388.128,9047.19,47.598,521.346,2388.13,8126.428,8.43446,393.2,38.748,23.31322
12,63,642.586,1592.792,1408.142,552.974,2388.148,9046.722,47.586,521.296,2388.136,8126.518,8.42784,393,38.754,23.32728
12,64,642.52,1592.312,1410.01,553.168,2388.15,9047.45,47.58,521.392,2388.146,8127.474,8.4229,393,38.748,23.31512
12,65,642.664,1592.34,1410.318,553.282,2388.146,9046.402,47.554,521.474,2388.14,8127.946,8.42734,392.6,38.764,23.30194
12,66,642.616,1592.22,1410.28,553.368,2388.156,9047.68,47.552,521.604,2388.124,8126.842,8.43732,392.6,38.786,23.28072
12,67,642.736,1591.53,1409.628,553.43,2388.152,9047.966,47.554,521.566,2388.124,8127.826,8.43642,392.6,38.776,23.26952
12,68,642.746,1591.096,1410.184,553.352,2388.16,9048.674,47.55,521.56,2388.116,8127.29,8.43988,392.6,38.79,23.26538
12,69,642.758,1590.196,1411.876,553.27,2388.15,9046.734,47.57,521.398,2388.106,8127.276,8.44922,392.8,38.808,23.2492
12,70,642.75,1588.528,1410.296,553.22,2388.154,9046.572,47.568,521.322,2388.12,8126.772,8.4448,392.8,38.806,23.27162
12,71,642.688,1588.156,1410.188,553.292,2388.138,9047.602,47.546,521.308,2388.136,8128.614,8.43444,392.8,38.796,23.30858
12,72,642.608,1588.97,1411.808,553.292,2388.134,9048.95,47.534,521.238,2388.142,8127.464,8.43918,393.2,38.814,23.30188
12,73,642.608,1589.324,1410.518,553.376,2388.118,9049.69,47.562,521.372,2388.148,8127.178,8.4405,393.8,38.79,23.30922
12,74,642.576,1588.586,1407.724,553.4,2388.124,9050.46,47.616,521.47,2388.154,8127.318,8.43358,393.6,38.782,23.32654
12,75,642.518,1588.51,1407.756,553.308,2388.124,9049.956,47.632,521.316,2388.136,8126.96,8.43596,394,38.762,23.29814
12,76,642.57,1588.774,1407.81,553.222,2388.138,9049.982,47.664,521.302,2388.128,8125.47,8.44354,394.2,38.762,23.26406
