Unit,Time,LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BleedEnthalpy,HPTCoolantBleed,LPTCoolantBleed
97,5,642.076,1586.688,1402.696,554.172,2388.04,9046.434,47.29,522.214,2388.058,8130.586,8.41698,392.2,38.998,23.38664
97,6,642.138,1588.356,1403.826,554.082,2388.028,9047.016,47.334,522.224,2388.058,8130.458,8.41396,392.4,39.012,23.38972
97,7,642.248,1588.362,1403.084,553.902,2388.046,9047.648,47.372,522.176,2388.066,8129.472,8.42018,392.4,38.938,23.38854
97,8,642.414,1587.048,1402.568,553.886,2388.05,9047.11,47.384,522.084,2388.062,8129.986,8.41856,392.6,38.95,23.37866
97,9,642.288,1584.606,1401.04,553.98,2388.06,9047.632,47.386,522.064,2388.06,8128.79,8.41568,392.6,38.94,23.36006
97,10,642.296,1586.722,1400.514,554.03,2388.056,9047.932,47.38,522.184,2388.068,8127.86,8.42084,392.4,38.944,23.348
97,11,642.222,1585.596,1401.412,553.988,2388.08,9047.978,47.37,522.096,2388.066,8127.59,8.42216,392.2,38.94,23.35776
97,12,642.014,1585.098,1402.12,554.002,2388.07,9045.52,47.32,522.106,2388.04,8128.258,8.41588,392.2,38.964,23.36572
97,13,642.008,1586.512,1402.58,554.008,2388.068,9045.636,47.282,522.088,2388.046,8127.322,8.41552,392,38.966,23.3737
97,14,642.03,1587.736,1402.538,553.784,2388.058,9044.678,47.314,521.944,2388.048,8128.218,8.41336,391.8,38.976,23.39646
97,15,642.112,1585.866,1401.322,553.89,2388.056,9043.418,47.298,521.928,2388.062,8130.306,8.4043,391.8,38.974,23.38574
97,16,642.256,1586.872,1401.162,553.912,2388.058,9042.8,47.278,521.98,2388.062,8131.236,8.40268,392.4,39.002,23.35372
97,17,642.356,1588.468,1401.486,554.066,2388.05,9045.004,47.304,522.044,2388.082,8132.83,8.40452,392.6,38.978,23.34582
97,18,642.208,1588.398,1401.184,554.114,2388.04,9044.35,47.354,521.992,2388.058,8132.614,8.40718,392.4,38.96,23.34254
97,19,642.296,1587.366,1402.086,554.298,2388.036,9046.088,47.306,522.054,2388.044,8132.356,8.40972,392.6,38.988,23.35818
97,20,642.258,1586.988,1402.05,554.282,2388.04,9047.332,47.298,521.9,2388.028,8132.624,8.41118,392.4,39.046,23.37202
97,21,642.17,1587.294,1400.932,554.288,2388.024,9047.426,47.306,521.804,2388.028,8131.31,8.42156,392,39.006,23.40102
97,22,642.218,1586.546,1399.356,554.11,2388.026,9047.962,47.302,521.682,2388.026,8129.298,8.42074,392,39.022,23.40246
97,23,642.268,1586.296,1399.594,554.05,2388.034,9048.878,47.234,521.686,2388.046,8128.594,8.42674,392.2,39.056,23.40022
97,24,642.328,1586.182,1398.978,554.072,2388.048,9048.198,47.25,521.728,2388.054,8128.934,8.42596,391.8,39.014,23.39726
97,25,642.304,1584.996,1399.99,554.048,2388.054,9047.3,47.254,521.962,2388.07,8126.474,8.42478,392,38.928,23.38882
97,26,642.356,1583.754,1400.96,554.094,2388.056,9045.99,47.23,521.99,2388.072,8127.858,8.42106,392,38.934,23.36938
97,27,642.338,1582.996,1401.67,554.216,2388.054,9045.028,47.224,522.136,2388.056,8128.406,8.4177,392,38.96,23.393
97,28,642.284,1582.71,1402.364,554.282,2388.044,9043.98,47.248,522.196,2388.042,8129.454,8.4069,392,38.928,23.3832
97,29,642.16,1583.932,1401.878,554.434,2388.046,9043.33,47.268,522.224,2388.054,8129.48,8.40724,392.2,38.974,23.39832
97,30,642.23,1584.728,1402.866,554.58,2388.038,9044.506,47.276,522.126,2388.04,8129.936,8.40204,392.2,39.016,23.42998
97,31,642.214,1585.218,1403.134,554.594,2388.052,9046.756,47.254,522.168,2388.048,8127.842,8.39848,392,38.978,23.42796
97,32,642.234,1587.668,1404.664,554.584,2388.054,9046.846,47.28,522.018,2388.062,8127.912,8.39968,391.8,38.97,23.40872
97,33,642.248,1588.004,1402.768,554.626,2388.064,9047.372,47.3,521.934,2388.084,8128.774,8.40472,391.8,38.954,23.40544
97,34,642.21,1587.144,1403.364,554.344,2388.052,9048.642,47.26,521.842,2388.078,8128.616,8.40118,391.6,38.936,23.3966
97,35,642.218,1586.634,1402.986,554.246,2388.048,9047.396,47.296,521.76,2388.076,8129.092,8.40604,391.8,38.934,23.36272
97,36,642.194,1586.864,1403.544,554.272,2388.028,9047.934,47.346,521.758,2388.074,8131.448,8.40906,391.8,38.99,23.37532
97,37,642.132,1585.886,1403.152,554.31,2388.024,9049.328,47.334,521.81,2388.072,8132.314,8.41666,391.8,38.962,23.36656
97,38,642.294,1585.862,1405.352,554.272,2388.024,9051.098,47.348,521.748,2388.052,8131.422,8.41086,391.4,38.966,23.37942
97,39,642.254,1585.42,1405.232,554.39,2388.032,9050.464,47.372,521.868,2388.054,8131.386,8.41158,391.6,38.944,23.3798
97,40,642.32,1585.908,1403.542,554.346,2388.052,9051.47,47.342,521.934,2388.07,8131.546,8.41614,391.6,38.936,23.38338
97,41,642.384,1586.26,1403.206,554.254,2388.064,9051.302,47.302,521.922,2388.06,8131.514,8.41078,391.8,38.926,23.38808
97,42,642.414,1587.282,1403.196,554.194,2388.076,9049.42,47.308,521.984,2388.066,8130.498,8.39962,392.2,38.976,23.35988
97,43,642.43,1587.842,1402.296,554.122,2388.076,9049.638,47.292,522.1,2388.082,8129.93,8.40084,392.4,39.016,23.36346
97,44,642.56,1587.122,1404.31,554.056,2388.074,9051.784,47.292,522.022,2388.076,8130.374,8.40322,392.2,39.008,23.35316
97,45,642.452,1587.34,1404.784,553.912,2388.066,9051.112,47.282,522.144,2388.072,8129.27,8.40338,391.8,39.018,23.36054
97,46,642.36,1586.05,1403.2,554.038,2388.064,9051.276,47.33,522.12,2388.088,8128.684,8.40762,391.6,39.03,23.35958
97,47,642.356,1585.676,1402.184,554.032,2388.056,9051.112,47.302,522.122,2388.072,8130.442,8.41174,391,39,23.40468
97,48,642.222,1584.458,1401.01,554.004,2388.05,9050.432,47.332,522.102,2388.058,8131.938,8.41762,391,38.996,23.41252
97,49,642.19,1584.994,1399.782,553.962,2388.048,9047.48,47.302,522.094,2388.068,8131.848,8.41644,391,38.992,23.42856
97,50,642.25,1585.572,1400.072,553.91,2388.054,9047.662,47.284,522.086,2388.068,8133.876,8.41982,391,38.998,23.42314
97,51,642.326,1585.828,1400.31,553.88,2388.06,9046.034,47.276,522.154,2388.054,8133.992,8.42442,391.2,38.996,23.41986
97,52,642.292,1584.988,1400.996,553.94,2388.058,9046.526,47.298,522.184,2388.058,8133.59,8.42144,391.4,39.028,23.4015
97,53,642.302,1585.25,1400.416,553.97,2388.052,9046.186,47.292,522.144,2388.062,8134.12,8.41004,391.8,38.974,23.39018
97,54,642.328,1586.868,1399.6,553.924,2388.046,9046.81,47.314,522.082,2388.054,8133.112,8.41134,392,38.988,23.37434
97,55,642.298,1585.712,1398.942,554.018,2388.032,9046.804,47.394,522.044,2388.044,8132.286,8.39934,392.4,38.97,23.36602
97,56,642.41,1585.254,1398.872,553.864,2388.028,9047.082,47.408,521.954,2388.054,8132.356,8.39878,392.4,38.946,23.35936
97,57,642.508,1585.296,1398.378,553.814,2388.03,9048.222,47.362,521.878,2388.058,8131.836,8.40824,392.6,38.968,23.3594
97,58,642.518,1586.156,1397.006,553.992,2388.026,9048.178,47.306,521.952,2388.066,8129.95,8.41918,392.4,39,23.36838
